Created On,Machine User,Parts Area (m²),Number Of Parts,Cut Order,Oper_StartDate,ProductionWorkOrders,Processed,Cutting Log,State,Material,Cutting Log Representation,Cut Start,Cut End,Cut Time (s),Tool,Insert,Count
2022-01-06T09:38:22Z,admin,3.738450,41,24,,0,0,37,Cut,,Images\1854.png,2022-01-06T09:38:24Z,2022-01-06T09:38:27Z,3,EOT,Z42,56
2022-01-06T09:38:31Z,admin,3.153405,49,24,,0,0,38,Cut,,Images\1855.png,2022-01-06T09:38:32Z,2022-01-06T09:38:36Z,3,EOT,Z42,134
2022-01-06T09:38:55Z,admin,1.875512,75,24,,0,0,39,Cut,,Images\1856.png,2022-01-06T09:38:56Z,2022-01-06T09:39:05Z,8,EOT,Z42,247
2022-01-06T09:43:32Z,admin,3.054961,42,24,,0,0,40,Cut,,Images\1858.png,2022-01-06T09:43:33Z,2022-01-06T09:43:44Z,10,EOT,Z42,90
2022-01-06T09:43:47Z,admin,0.000000,0,,,,,41,Cut,,Images\1859.png,,,0,,,
2022-01-06T13:20:57Z,admin,2.797060,170,25,,0,0,42,Cut,,Images\1884.png,2022-01-06T13:20:58Z,2022-01-06T13:21:45Z,46,EOT,Z42,5260
2022-01-06T13:22:16Z,admin,1.670790,271,25,,0,0,43,Cut,,Images\1885.png,2022-01-06T13:22:18Z,2022-01-06T13:23:18Z,60,EOT,Z42,5730
2022-01-06T13:24:41Z,admin,0.116327,63,25,,0,0,44,Cut,,Images\1886.png,2022-01-06T13:24:42Z,2022-01-06T13:25:11Z,29,EOT,Z42,3434
2022-01-06T13:41:08Z,admin,0.010904,4,25,,0,0,45,Cut,,Images\1889.png,2022-01-06T13:41:09Z,2022-01-06T13:41:20Z,10,EOT,Z42,176
2022-01-06T13:45:12Z,admin,0.723769,145,,,,,46,Cut,,Images\1890.png,2022-01-06T13:45:13Z,2022-01-06T13:45:18Z,4,EOT,Z42,580
2022-01-06T13:45:18Z,admin,0.000000,0,,,,,47,Cut,,Images\1891.png,,,0,,,
2022-01-06T13:52:38Z,admin,0.835963,210,,,,,48,Cut,,Images\1892.png,2022-01-06T13:52:39Z,2022-01-06T13:53:04Z,24,DRT,Z53,2520
2022-01-06T13:53:05Z,admin,0.000000,0,,,,,49,Cut,,Images\1893.png,,,0,,,
2022-01-06T14:06:03Z,admin,3.870532,42,29,,0,0,50,Cut,,Images\1911.png,2022-01-06T14:06:05Z,2022-01-06T14:06:20Z,15,EOT,Z42,64
2022-01-06T14:06:24Z,admin,2.203967,26,29,,0,0,51,Cut,,Images\1912.png,2022-01-06T14:06:26Z,2022-01-06T14:06:44Z,17,EOT,Z42,48
2022-01-06T14:06:46Z,admin,2.285391,30,29,,0,0,52,Cut,,Images\1913.png,2022-01-06T14:06:47Z,2022-01-06T14:07:07Z,19,EOT,Z42,55
2022-01-06T14:07:10Z,admin,3.222621,40,29,,0,0,53,Cut,,Images\1914.png,2022-01-06T14:07:11Z,2022-01-06T14:07:43Z,31,EOT,Z42,74
2022-01-06T14:07:47Z,admin,3.363539,52,29,,0,0,54,Cut,,Images\1915.png,2022-01-06T14:07:48Z,2022-01-06T14:08:06Z,17,EOT,Z42,140
2022-01-06T14:08:10Z,admin,1.527421,65,29,,0,0,55,Cut,,Images\1916.png,2022-01-06T14:08:11Z,2022-01-06T14:08:35Z,23,EOT,Z42,204
2022-01-06T14:11:16Z,admin,0.700847,8,29,,0,0,56,Cut,,Images\1918.png,2022-01-06T14:11:17Z,2022-01-06T14:11:30Z,13,EOT,Z42,12
2022-01-06T14:11:33Z,admin,0.000000,0,,,,,57,Cut,,Images\1920.png,,,0,,,
2022-01-06T16:03:25Z,admin,0.102232,1,,,,,58,Cut,,Images\1925.png,2022-01-06T16:03:28Z,2022-01-06T16:03:30Z,1,EOT,Z42,1
2022-01-06T16:04:19Z,admin,0.102232,1,,,,,59,Cut,,Images\1926.png,2022-01-06T16:04:20Z,2022-01-06T16:04:38Z,17,EOT,Z42,1
2022-01-06T16:04:38Z,admin,0.000000,0,,,,,60,Cut,,Images\1927.png,,,0,,,
2022-01-06T16:05:09Z,admin,0.143848,2,,,,,61,Cut,,Images\1928.png,2022-01-06T16:05:10Z,2022-01-06T16:05:22Z,11,EOT,Z42,3
2022-01-06T16:05:23Z,admin,0.000000,0,,,,,62,Cut,,Images\1929.png,,,0,,,
2022-01-06T16:05:58Z,admin,0.230800,3,,,,,63,Cut,,Images\1930.png,2022-01-06T16:05:59Z,2022-01-06T16:06:11Z,11,EOT,Z42,4
2022-01-06T16:06:12Z,admin,0.000000,0,,,,,64,Cut,,Images\1931.png,,,0,,,
2022-01-06T17:26:29Z,admin,0.299946,7,,,,,65,Cut,,Images\1932.png,2022-01-06T17:26:30Z,2022-01-06T17:26:42Z,12,EOT,Z42,25
2022-01-06T17:26:49Z,admin,0.082892,1,,,,,66,Cut,,Images\1933.png,2022-01-06T17:26:50Z,2022-01-06T17:27:02Z,12,EOT,Z42,1
